confidence,leaves,treeSize,performanceValidation,performanceTraining
0.0010,69,137,54.0735,60.7436
0.0250,328,655,58.2268,74.6425
0.0500,399,797,58.3067,77.2355
0.0750,531,1061,58.5463,82.4023
0.1000,672,1343,58.7859,86.654
0.1250,701,1401,58.7061,87.531
0.1500,728,1455,58.9457,88.1411
0.1750,748,1495,59.1853,88.5796
0.2000,789,1577,59.1054,89.3613
0.2250,811,1621,59.1054,89.7617
0.2500,820,1639,59.0256,89.9333
0.2750,826,1651,59.0256,90.0477
0.3000,830,1659,59.1054,90.1239
0.3250,830,1659,59.1054,90.1239
0.3500,837,1673,59.1853,90.2383
0.3750,838,1675,59.2652,90.2574
0.4000,838,1675,59.2652,90.2574
0.4250,841,1681,59.1054,90.2955
0.4500,844,1687,59.0256,90.3337
0.4750,850,1699,59.1054,90.4099
0.5000,850,1699,59.1054,90.4099
