method,fillPerc,confidence,leaves,treeSize,performanceValidation,performanceTraining
# ./ind_faltantes.py ../data/training2.csv.arff 0.00  moda > ../output/exc2//dataset_faltantes_0.00_moda.arff
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.0010 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.001.out
moda,0.00,0.0010,7,13,51.278,52.5071
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.0250 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.025.out
moda,0.00,0.0250,249,497,56.4696,70.0667
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.0500 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.050.out
moda,0.00,0.0500,401,801,58.3067,76.816
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.0750 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.075.out
moda,0.00,0.0750,444,887,58.5463,78.3794
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.1000 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.100.out
moda,0.00,0.1000,542,1083,58.7061,81.735
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.1250 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.125.out
moda,0.00,0.1250,566,1131,58.8658,82.4404
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.1500 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.150.out
moda,0.00,0.1500,592,1183,59.1054,83.0505
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.1750 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.175.out
moda,0.00,0.1750,614,1227,58.7061,83.6034
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.2000 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.200.out
moda,0.00,0.2000,643,1285,58.7859,84.3089
