method,bin,confidence,leaves,treeSize,performanceValidation,performanceTraining
supervisado,1.00,0.0010,54,104,55.7352,58.7726
supervisado,1.00,0.0250,318,626,57.5058,73.9708
supervisado,1.00,0.0500,411,812,57.5058,77.5298
supervisado,1.00,0.0750,550,1090,58.1986,82.7241
supervisado,1.00,0.1000,605,1200,58.1216,84.3017
supervisado,1.00,0.1250,634,1258,58.3526,85.0712
supervisado,1.00,0.1500,643,1276,58.5835,85.2443
supervisado,1.00,0.1750,688,1366,58.8915,86.2447
supervisado,1.00,0.2000,708,1406,59.1994,86.6679
supervisado,1.00,0.2250,758,1506,58.8915,87.6491
supervisado,1.00,0.2500,770,1530,58.8145,87.9184
supervisado,1.00,0.2750,776,1542,58.6605,88.0339
supervisado,1.00,0.3000,781,1552,58.6605,88.1301
supervisado,1.00,0.3250,782,1554,58.5065,88.1685
supervisado,1.00,0.3500,806,1602,58.1216,88.5725
supervisado,1.00,0.3750,807,1604,58.1986,88.5918
supervisado,1.00,0.4000,811,1612,58.1986,88.6495
supervisado,1.00,0.4250,815,1620,58.2756,88.7072
supervisado,1.00,0.4500,818,1626,58.1986,88.7457
supervisado,1.00,0.4750,821,1632,58.1986,88.7841
supervisado,1.00,0.5000,824,1638,58.1986,88.8226
ancho,1.00,0.0010,70,139,53.2717,58.5225
ancho,1.00,0.0250,312,623,54.4265,72.4509
ancho,1.00,0.0500,503,1005,54.4265,80.2232
ancho,1.00,0.0750,598,1195,54.8884,83.4359
ancho,1.00,0.1000,658,1315,55.1193,85.1289
ancho,1.00,0.1250,695,1389,54.7344,86.2447
ancho,1.00,0.1500,730,1459,54.6574,87.1489
ancho,1.00,0.1750,751,1501,54.7344,87.5721
ancho,1.00,0.2000,764,1527,55.0423,87.8415
ancho,1.00,0.2250,802,1603,54.9654,88.6495
ancho,1.00,0.2500,826,1651,55.1963,89.1112
ancho,1.00,0.2750,830,1659,55.5042,89.1881
ancho,1.00,0.3000,836,1671,55.3503,89.3036
ancho,1.00,0.3250,836,1671,55.3503,89.3036
ancho,1.00,0.3500,838,1675,55.3503,89.3421
ancho,1.00,0.3750,842,1683,55.3503,89.3998
ancho,1.00,0.4000,842,1683,55.3503,89.3998
ancho,1.00,0.4250,846,1691,55.2733,89.4575
ancho,1.00,0.4500,850,1699,55.4273,89.5152
ancho,1.00,0.4750,850,1699,55.4273,89.5152
ancho,1.00,0.5000,850,1699,55.4273,89.5152
ancho,2.00,0.0010,45,89,55.4273,57.5798
ancho,2.00,0.0250,361,721,56.1201,75.1443
ancho,2.00,0.0500,522,1043,57.8137,81.7815
ancho,2.00,0.0750,575,1149,57.5828,83.2436
ancho,2.00,0.1000,635,1269,57.2748,85.1097
ancho,2.00,0.1250,664,1327,57.1209,85.783
ancho,2.00,0.1500,687,1373,56.736,86.2447
ancho,2.00,0.1750,728,1455,56.736,87.1297
ancho,2.00,0.2000,756,1511,56.351,87.6876
ancho,2.00,0.2250,778,1555,55.8891,88.1685
ancho,2.00,0.2500,813,1625,55.6582,88.8611
ancho,2.00,0.2750,832,1663,55.1963,89.2266
ancho,2.00,0.3000,833,1665,55.1963,89.2459
ancho,2.00,0.3250,833,1665,55.1963,89.2459
ancho,2.00,0.3500,840,1679,55.1963,89.3613
ancho,2.00,0.3750,840,1679,55.1963,89.3613
ancho,2.00,0.4000,842,1683,55.1193,89.3998
ancho,2.00,0.4250,845,1689,55.1193,89.4382
ancho,2.00,0.4500,855,1709,55.1963,89.5729
ancho,2.00,0.4750,868,1735,55.3503,89.7268
ancho,2.00,0.5000,871,1741,55.3503,89.7653
ancho,3.00,0.0010,25,48,54.6574,55.9254
ancho,3.00,0.0250,368,724,56.8129,74.875
ancho,3.00,0.0500,501,984,57.6597,80.4733
ancho,3.00,0.0750,576,1129,57.8907,82.8011
ancho,3.00,0.1000,642,1258,57.8907,84.6095
ancho,3.00,0.1250,701,1371,57.8137,86.2832
ancho,3.00,0.1500,728,1424,58.1986,86.8796
ancho,3.00,0.1750,754,1475,58.5835,87.4182
ancho,3.00,0.2000,787,1540,58.8145,88.1108
ancho,3.00,0.2250,852,1666,58.2756,89.3421
ancho,3.00,0.2500,888,1736,58.4296,89.9962
ancho,3.00,0.2750,897,1754,58.5065,90.1885
ancho,3.00,0.3000,900,1760,58.7375,90.2462
ancho,3.00,0.3250,904,1767,58.8915,90.304
ancho,3.00,0.3500,904,1767,58.8915,90.304
ancho,3.00,0.3750,911,1779,58.8915,90.4002
ancho,3.00,0.4000,915,1786,58.8915,90.4386
ancho,3.00,0.4250,920,1795,58.8915,90.4963
ancho,3.00,0.4500,931,1816,58.8915,90.631
ancho,3.00,0.4750,935,1823,58.8915,90.6695
ancho,3.00,0.5000,935,1823,58.8915,90.6695
ancho,4.00,0.0010,34,63,54.9654,56.0023
ancho,4.00,0.0250,218,417,57.3518,67.5067
ancho,4.00,0.0500,378,725,57.4288,74.5864
ancho,4.00,0.0750,551,1053,56.8899,80.4155
ancho,4.00,0.1000,680,1301,57.1978,84.5325
ancho,4.00,0.1250,694,1327,57.5058,84.898
ancho,4.00,0.1500,729,1397,57.8137,85.8022
ancho,4.00,0.1750,768,1467,58.4296,86.5333
ancho,4.00,0.2000,817,1559,58.0446,87.4182
ancho,4.00,0.2250,838,1599,58.0446,87.7838
ancho,4.00,0.2500,857,1635,57.8137,88.1493
ancho,4.00,0.2750,877,1671,57.5058,88.4763
ancho,4.00,0.3000,884,1685,57.5058,88.5918
ancho,4.00,0.3250,885,1687,57.5058,88.611
ancho,4.00,0.3500,888,1691,57.5058,88.6302
ancho,4.00,0.3750,893,1701,57.3518,88.7072
ancho,4.00,0.4000,902,1715,57.3518,88.8226
ancho,4.00,0.4250,905,1721,57.3518,88.8611
ancho,4.00,0.4500,905,1721,57.3518,88.8611
ancho,4.00,0.4750,913,1737,57.1209,88.9573
ancho,4.00,0.5000,917,1743,57.1209,88.9958
ancho,5.00,0.0010,18,32,53.8876,55.1751
ancho,5.00,0.0250,309,581,55.4273,71.2197
